clipname CountOssieEthiopianSerenade ,audiofilename CountOssieEthiopianSerenade.wav ,title Ethiopian Serenade ,album Count Ossie & The Mystic Revelation Of Rastafari ,artist Count ossie ,year 2009 ,pais Jamaica 
clipname 08 Cumbia en la India ,audiofilename 08 Cumbia en la India.wav ,title Cumbia en la India ,album A Orillas del Magdalena ,artist Andres Landero y Su Conjunto ,year 2009 ,pais Colombia 
clipname 03-Manuel Agujetas - de una mocita - Manolo Sanlucar-Bulerias ,audiofilename 03-Manuel Agujetas - de una mocita - Manolo Sanlucar-Bulerias.wav ,title De una mocita. Bulerias ,album Por Derecho ,artist El Agujetas ,year 1975 ,pais España 
clipname 03 - Nubian Rhythms ,audiofilename 03 - Nubian Rhythms.wav ,title Nubian Rhythms ,"album Music of the Nubians; Aswan; Egypt ",artist Varios ,year 1998 ,pais Egipto 
clipname 03-Percussion sur Tabla et Ghara ,audiofilename 03-Percussion sur Tabla et Ghara.wav ,title Percussion sur Tabla et Ghara ,album L'Algoza Du Sind ,artist Khamisu Khan ,year 1979 ,pais Pakistan 
clipname 05. Te Hia'Ai Ora - Pae ,audiofilename 05. Te Hia'Ai Ora - Pae.wav ,title Pae ,album South Pacific Drums ,artist Te Hia'Ai Ora ,year 1965 ,pais Polinesia 
clipname Mississippi_John_Hurt--Stack_O_Lee_Blues ,audiofilename Mississippi_John_Hurt--Stack_O_Lee_Blues.wav ,title Stack O Lee Blues ,album 78 rpm varios ,artist Mississippi John Hurt ,year 1928 ,pais 78 rpm 
clipname 05 - Atahualpa Yupanqui - Camino en los valles - Camino Del Indio ,audiofilename 05 - Atahualpa Yupanqui - Camino en los valles - Camino Del Indio.wav ,title Camino en los valles ,album Camino Del Indio ,artist Atahualpa Yupanqui ,year 1942 ,pais Argentina 
clipname 2-SikoMariola-StaOpMariola-8'15 ,audiofilename 2-SikoMariola-StaOpMariola-8'15.wav ,title SikoMariola-StaOpMariola ,album MIROLOI muziek uit Epirus - klarinet ea vpro ew9305 ,artist Petros Chalkias + Napoleon Damos ,year 1993 ,pais Grecia 
clipname Solo De Madinda ,audiofilename Solo De Madinda.wav ,title Solo De Madinda ,album Ouganda: Aux Sources Du Nil ,artist Varios ,year 1992 ,pais Uganda 
clipname 09 Ballade d'Amar Singh Avec Vièles ,audiofilename 09 Ballade d'Amar Singh Avec Vièles.wav ,title Ballade D'Amar Singh Avec Vièles Sarangi ,album Inde. Rajasthan. Musiciens Professionnels Populaires ,artist Varios ,year 1994 ,pais Rajastan 
clipname CNRSMH_E_1995_018_001_001_05 ,audiofilename CNRSMH_E_1995_018_001_001_05.wav ,title Ronde funéraire ,album 1991-1994 - Indonésie - Toraja. Funérailles et fêtes de fécondité ,"artist Rappoport, Dana ",year 1991 ,pais Indonesia 
clipname 01 Ed Lewis - John Henry ,audiofilename 01 Ed Lewis - John Henry.wav ,title John Henry ,album Presenting The Alan Lomax Coll ,artist Ed Lewis ,year 1947 ,pais Estados Unidos 
"clipname 07 La Rueda de San Miguel, Tierras Morenas, El Puerquito ","audiofilename 07 La Rueda de San Miguel, Tierras Morenas, El Puerquito.wav ",title La rueda de San Miguel ,"album REC_Children's Songs and Games from Ecuador, Mexico, and Puerto Rico ",artist Varios ,year 1977 ,pais Mexico 
clipname 09 - Agnus Dei - 2 ,audiofilename 09 - Agnus Dei - 2.wav ,title Agnus Dei - 2 ,album Corse - Polyphonies Féminines ,artist Donni di l'esiliu ,year 2000 ,pais Italia 
clipname 16 - Bafana Benjabulo - Indvumo ,audiofilename 16 - Bafana Benjabulo - Indvumo.wav ,title Indvumo ,album African Vibrations 04 ,artist Bafana Benjabulo ,year 2004 ,pais Sudafrica 
clipname 04  - Ogbeler ,audiofilename 04  - Ogbeler.wav ,title Ögbeler ,album Tuvinian Singers & Musicians - Chöömej: Throat-Singing From The Center Of Asia ,artist folkblog.in.ua - Tuva Ensemble ,year 1993 ,pais Tuva 
clipname CNRSMH_E_1995_004_001_001_12 ,audiofilename CNRSMH_E_1995_004_001_001_12.wav ,title Chants de femmes : chant énumératif ,album Îles Salomon : musiques intimes et rituelles 'Are'Are ,artist Are'Are ,year 1969 ,pais Islas Salomon 
